# Nmax = 5
# L1 L2 L3   u11 u12 u13   u21 u22 u23   u31 u32 u33   (periodicity)
2.4495 4.1028 0.0995   2 1 1   0 3 4   1 0 0   (1)
3.1623 4.1110 0.0769   3 1 0   0 1 4   1 0 -1   (1)
3.3166 4.1121 0.0733   3 1 1   1 -4 0   0 1 0   (1)
3.7417 4.1144 0.0650   3 2 1   5 0 -2   0 1 1   (1)
4.1231 0.3430 0.7071   3 2 2   1 1 1   0 0 1   (1)
4.1231 0.7276 0.3333   3 2 2   1 1 0   0 0 1   (1)
4.1231 0.8745 0.2774   3 2 2   0 1 0   1 0 1   (1)
4.1231 1.0000 0.2425   4 1 0   0 0 1   1 0 0   (12)
4.1231 1.0290 0.2357   4 1 0   1 0 1   1 0 0   (1)
4.1231 1.1114 0.2182   4 1 0   2 0 1   1 0 0   (1)
4.1231 1.2367 0.1961   4 1 0   1 1 1   1 0 0   (1)
4.1231 1.3933 0.1741   4 1 0   0 1 1   1 0 0   (1)
4.1231 1.4142 0.1715   3 2 2   0 -1 1   1 1 0   (12)
4.1231 1.5718 0.1543   4 1 0   1 -1 1   1 0 0   (1)
4.1231 1.6977 0.1429   3 2 2   0 2 1   1 1 1   (1)
4.1231 1.7657 0.1374   4 1 0   2 2 1   1 0 0   (1)
4.1231 1.9704 0.1231   4 1 0   1 2 1   1 0 0   (1)
4.1231 2.0147 0.1204   4 0 1   1 2 0   0 1 0   (1)
4.1231 2.1282 0.1140   4 1 0   1 1 2   -1 0 1   (1)
4.1231 2.1828 0.1111   4 1 0   0 2 1   1 0 0   (1)
4.1231 2.2881 0.1060   3 2 2   1 3 0   1 0 1   (1)
4.1231 2.3389 0.1037   4 0 1   1 2 -1   2 1 0   (1)
4.1231 2.4010 0.1010   4 1 0   1 -2 1   1 0 0   (1)
4.1231 2.4375 0.0995   3 2 2   1 1 -2   0 0 1   (1)
4.1231 2.4971 0.0971   3 2 2   0 3 1   2 0 1   (1)
4.1231 2.6234 0.0925   4 1 0   2 3 1   1 0 0   (1)
4.1231 2.6679 0.0909   3 2 2   3 0 -1   1 1 1   (1)
4.1231 2.8388 0.0854   3 2 2   2 -2 1   0 1 0   (1)
4.1231 2.8491 0.0851   4 1 0   1 3 1   1 0 0   (1)
4.1231 2.9605 0.0819   4 1 0   -1 2 2   0 1 1   (1)
4.1231 3.0000 0.0808   3 2 2   5 1 0   1 1 1   (12)
4.1231 3.0098 0.0806   4 0 1   1 3 0   0 1 0   (1)
4.1231 3.0390 0.0798   4 1 0   2 0 3   1 0 1   (1)
4.1231 3.0774 0.0788   4 1 0   0 3 1   1 0 0   (1)
4.1231 3.0870 0.0786   2 2 -3   3 1 1   1 0 1   (1)
4.1231 3.1530 0.0769   4 1 0   0 1 3   -1 0 1   (1)
4.1231 3.2358 0.0750   4 1 0   1 -1 3   2 0 1   (1)
4.1231 3.3077 0.0733   4 1 0   1 -3 1   1 0 0   (1)
4.1231 3.3343 0.0727   4 1 0   1 3 2   -1 1 1   (1)
4.1231 3.4471 0.0704   4 1 0   1 2 3   2 1 1   (1)
4.1231 3.5397 0.0685   4 1 0   2 4 1   1 0 0   (1)
4.1231 3.5728 0.0679   4 0 1   0 3 2   1 1 1   (1)
4.1231 3.6056 0.0673   3 2 2   2 0 -3   2 1 0   (12)
4.1231 3.6702 0.0661   3 2 2   0 4 3   1 1 1   (1)
4.1231 3.7101 0.0654   3 2 2   2 -3 1   0 1 0   (1)
4.1231 3.7338 0.0650   4 0 1   -1 2 3   1 1 2   (1)
4.1231 3.7730 0.0643   4 1 0   1 4 1   1 0 0   (1)
4.1231 3.8578 0.0629   4 1 0   2 3 3   1 1 1   (1)
4.1231 3.8881 0.0624   2 2 -3   1 4 1   0 1 1   (1)
4.1231 4.0073 0.0605   4 1 0   0 4 1   1 0 0   (1)
4.1231 4.0147 0.0604   4 0 1   1 3 3   0 1 1   (1)
4.1231 4.0656 0.0597   4 1 0   3 0 4   1 0 1   (1)
2.2361 4.1473 0.1078   2 1 0   1 5 1   1 0 0   (1)
4.1231 4.1515 0.0584   4 0 1   1 2 4   0 1 2   (1)
3.7417 4.1662 0.0642   3 2 1   -1 1 4   2 1 0   (1)
4.1231 4.1798 0.0580   4 0 1   1 4 -1   1 1 0   (1)
4.1231 4.1868 0.0579   3 2 2   0 1 5   2 1 0   (1)
3.3166 4.1996 0.0718   1 1 -3   4 1 1   1 0 1   (1)
2.2361 4.2190 0.1060   2 1 0   3 0 4   1 0 1   (1)
